Poll,Date,Sample,MoE,Clinton (D),Trump (R),Spread,Date_start,Date_end
PPP (D)PPP (D),11/16 - 11/17,1360 RV,2.7,45.0,44.0,Clinton +1,2015-11-16,2015-11-17
FOX NewsFOX News,11/16 - 11/19,1016 RV,4.0,41.0,46.0,Trump +5,2015-11-16,2015-11-19
QuinnipiacQuinnipiac,11/23 - 11/30,1473 RV,2.6,47.0,41.0,Clinton +6,2015-11-23,2015-11-30
CNN/ORCCNN/ORC,11/27 - 12/1,930 RV,3.0,49.0,46.0,Clinton +3,2015-11-27,2015-12-01
USA Today/SuffolkUSA Today,12/2 - 12/6,1000 LV,3.0,48.0,44.0,Clinton +4,2015-12-02,2015-12-06
NBC/WSJNBC/WSJ,12/6 - 12/9,849 RV,3.4,50.0,40.0,Clinton +10,2015-12-06,2015-12-09
ABC News/Wash PostABC/WP,12/10 - 12/13,851 RV,4.0,50.0,44.0,Clinton +6,2015-12-10,2015-12-13
PPP (D)PPP (D),12/16 - 12/17,1267 RV,2.8,46.0,43.0,Clinton +3,2015-12-16,2015-12-17
FOX NewsFOX News,12/16 - 12/17,1013 RV,3.0,49.0,38.0,Clinton +11,2015-12-16,2015-12-17
QuinnipiacQuinnipiac,12/16 - 12/20,1140 RV,2.9,47.0,40.0,Clinton +7,2015-12-16,2015-12-20
CNN/ORCCNN/ORC,12/17 - 12/21,927 RV,3.0,49.0,47.0,Clinton +2,2015-12-17,2015-12-21
Rasmussen ReportsRasmussen,12/22 - 12/23,1000 LV,3.0,37.0,36.0,Clinton +1,2015-12-22,2015-12-23
Final Results,--,--,--,48.2,46.1,Clinton +2.1,2016-01-01,2016-01-01
FOX NewsFOX News,1/4 - 1/7,1006 RV,3.0,44.0,47.0,Trump +3,2016-01-04,2016-01-07
NBC News/Wall St. JrnlNBC/WSJ,1/9 - 1/13,800 RV,3.5,51.0,41.0,Clinton +10,2016-01-09,2016-01-13
PPP (D)PPP (D),2/2 - 2/3,1236 RV,2.8,47.0,40.0,Clinton +7,2016-02-02,2016-02-03
QuinnipiacQuinnipiac,2/2 - 2/4,1125 RV,2.9,46.0,41.0,Clinton +5,2016-02-02,2016-02-04
QuinnipiacQuinnipiac,2/10 - 2/15,1342 RV,2.7,44.0,43.0,Clinton +1,2016-02-10,2016-02-15
USA Today/SuffolkUSA Today,2/11 - 2/15,1000 LV,3.0,43.0,45.0,Trump +2,2016-02-11,2016-02-15
FOX NewsFOX News,2/15 - 2/17,1031 RV,3.0,47.0,42.0,Clinton +5,2016-02-15,2016-02-17
CNN/ORCCNN/ORC,2/24 - 2/27,920 RV,3.0,52.0,44.0,Clinton +8,2016-02-24,2016-02-27
Rasmussen ReportsRasmussen,2/29 - 3/1,1000 LV,3.0,41.0,36.0,Clinton +5,2016-02-29,2016-03-01
NBC News/Wall St. JrnlNBC/WSJ,3/3 - 3/6,1200 RV,2.8,51.0,38.0,Clinton +13,2016-03-03,2016-03-06
ABC News/Wash PostABC/WP,3/3 - 3/6,864 RV,4.0,50.0,41.0,Clinton +9,2016-03-03,2016-03-06
QuinnipiacQuinnipiac,3/16 - 3/21,1451 RV,2.6,46.0,40.0,Clinton +6,2016-03-16,2016-03-21
MonmouthMonmouth,3/17 - 3/20,848 RV,3.4,48.0,38.0,Clinton +10,2016-03-17,2016-03-20
CNN/ORCCNN/ORC,3/17 - 3/20,925 RV,3.0,53.0,41.0,Clinton +12,2016-03-17,2016-03-20
CBS News/NY TimesCBS/NYT,3/17 - 3/20,1058 RV,4.0,50.0,40.0,Clinton +10,2016-03-17,2016-03-20
BloombergBloomberg,3/19 - 3/22,815 LV,3.4,54.0,36.0,Clinton +18,2016-03-19,2016-03-22
FOX NewsFOX News,3/20 - 3/22,1016 RV,3.0,49.0,38.0,Clinton +11,2016-03-20,2016-03-22
PPP (D)PPP (D),3/24 - 3/26,1083 RV,3.0,48.0,41.0,Clinton +7,2016-03-24,2016-03-26
IBD/TIPPIBD/TIPP,3/28 - 4/2,819 RV,3.5,47.0,35.0,Clinton +12,2016-03-28,2016-04-02
McClatchy/MaristMcClatchy,3/29 - 3/31,1066 RV,3.0,50.0,41.0,Clinton +9,2016-03-29,2016-03-31
CBS NewsCBS News,4/8 - 4/12,1098 RV,3.0,50.0,40.0,Clinton +10,2016-04-08,2016-04-12
NBC News/Wall St. JrnlNBC/WSJ,4/10 - 4/14,1000 RV,3.1,50.0,39.0,Clinton +11,2016-04-10,2016-04-14
FOX NewsFOX News,4/11 - 4/13,1021 RV,3.0,48.0,41.0,Clinton +7,2016-04-11,2016-04-13
GWU/BattlegroundGWU/Battleground,4/17 - 4/20,1000 LV,3.1,46.0,43.0,Clinton +3,2016-04-17,2016-04-20
USA Today/SuffolkUSA Today,4/20 - 4/24,1000 LV,3.0,50.0,39.0,Clinton +11,2016-04-20,2016-04-24
IBD/TIPPIBD/TIPP,4/22 - 4/28,814 RV,3.5,47.0,40.0,Clinton +7,2016-04-22,2016-04-28
Rasmussen ReportsRasmussen,4/25 - 4/26,1000 LV,3.0,38.0,38.0,Tie,2016-04-25,2016-04-26
Rasmussen ReportsRasmussen,4/27 - 4/28,1000 LV,3.0,39.0,41.0,Trump +2,2016-04-27,2016-04-28
CNN/ORCCNN/ORC,4/28 - 5/1,890 RV,3.5,54.0,41.0,Clinton +13,2016-04-28,2016-05-01
PPP (D)PPP (D),5/6 - 5/9,1222 RV,3.2,47.0,41.0,Clinton +6,2016-05-06,2016-05-09
Gravis*Gravis*,5/10 - 5/10,1574 RV,2.5,50.0,48.0,Clinton +2,2016-05-10,2016-05-10
CBS News/NY TimesCBS/NYT,5/13 - 5/17,1109 RV,3.0,47.0,41.0,Clinton +6,2016-05-13,2016-05-17
FOX NewsFOX News,5/14 - 5/17,1021 RV,3.0,42.0,45.0,Trump +3,2016-05-14,2016-05-17
NBC News/Wall St. JrnlNBC/WSJ,5/15 - 5/19,1000 RV,3.1,46.0,43.0,Clinton +3,2016-05-15,2016-05-19
ABC News/Wash PostABC/WP,5/16 - 5/19,829 RV,3.5,44.0,46.0,Trump +2,2016-05-16,2016-05-19
Rasmussen ReportsRasmussen,5/17 - 5/18,1000 LV,3.0,37.0,42.0,Trump +5,2016-05-17,2016-05-18
Rasmussen ReportsRasmussen,5/23 - 5/24,1000 LV,3.0,40.0,39.0,Clinton +1,2016-05-23,2016-05-24
QuinnipiacQuinnipiac,5/24 - 5/30,1561 RV,2.5,45.0,41.0,Clinton +4,2016-05-24,2016-05-30
Rasmussen ReportsRasmussen,5/31 - 6/1,1000 LV,3.0,39.0,38.0,Clinton +1,2016-05-31,2016-06-01
IBD/TIPPIBD/TIPP,5/31 - 6/5,850 RV,3.3,45.0,40.0,Clinton +5,2016-05-31,2016-06-05
Economist/YouGovYouGov,6/2 - 6/5,1636 RV,3.6,44.0,41.0,Clinton +3,2016-06-02,2016-06-05
Reuters/IpsosReuters,6/4 - 6/8,1440 RV,2.9,42.0,34.0,Clinton +8,2016-06-04,2016-06-08
FOX NewsFOX News,6/5 - 6/8,1004 RV,3.0,42.0,39.0,Clinton +3,2016-06-05,2016-06-08
Rasmussen ReportsRasmussen,6/6 - 6/7,1000 LV,3.0,42.0,38.0,Clinton +4,2016-06-06,2016-06-07
CBS NewsCBS News,6/9 - 6/13,1048 RV,4.0,43.0,37.0,Clinton +6,2016-06-09,2016-06-13
Bloomberg*Bloomberg*,6/10 - 6/13,750 LV,3.6,49.0,37.0,Clinton +12,2016-06-10,2016-06-13
CNBCCNBC,6/11 - 6/13,801 RV,3.5,40.0,35.0,Clinton +5,2016-06-11,2016-06-13
Reuters/IpsosReuters,6/11 - 6/15,1323 RV,2.8,41.0,32.0,Clinton +9,2016-06-11,2016-06-15
Rasmussen ReportsRasmussen,6/14 - 6/15,1000 LV,3.0,44.0,39.0,Clinton +5,2016-06-14,2016-06-15
MonmouthMonmouth,6/15 - 6/19,721 LV,3.7,49.0,41.0,Clinton +8,2016-06-15,2016-06-19
Pew ResearchPew,6/15 - 6/26,1655 RV,2.7,51.0,42.0,Clinton +9,2016-06-15,2016-06-26
Gravis*Gravis*,6/16 - 6/16,2197 RV,2.1,51.0,47.0,Clinton +4,2016-06-16,2016-06-16
CNN/ORCCNN/ORC,6/16 - 6/19,891 RV,3.5,47.0,42.0,Clinton +5,2016-06-16,2016-06-19
Economist/YouGovYouGov,6/18 - 6/20,1011 RV,4.1,43.0,39.0,Clinton +4,2016-06-18,2016-06-20
Reuters/IpsosReuters,6/18 - 6/22,1339 RV,2.8,44.0,34.0,Clinton +10,2016-06-18,2016-06-22
NBC News/Wall St. JrnlNBC/WSJ,6/19 - 6/23,1000 RV,3.1,46.0,41.0,Clinton +5,2016-06-19,2016-06-23
ABC News/Wash PostABC/WP,6/20 - 6/23,836 RV,4.0,51.0,39.0,Clinton +12,2016-06-20,2016-06-23
Rasmussen ReportsRasmussen,6/20 - 6/21,1000 LV,3.0,44.0,39.0,Clinton +5,2016-06-20,2016-06-21
QuinnipiacQuinnipiac,6/21 - 6/27,1610 RV,2.4,42.0,40.0,Clinton +2,2016-06-21,2016-06-27
Economist/YouGovYouGov,6/24 - 6/27,1069 RV,3.9,42.0,38.0,Clinton +4,2016-06-24,2016-06-27
IBD/TIPPIBD/TIPP,6/24 - 6/29,837 RV,3.5,44.0,40.0,Clinton +4,2016-06-24,2016-06-29
Reuters/IpsosReuters,6/25 - 6/29,1247 RV,2.8,42.0,32.0,Clinton +10,2016-06-25,2016-06-29
FOX NewsFOX News,6/26 - 6/28,1017 RV,3.0,44.0,38.0,Clinton +6,2016-06-26,2016-06-28
USA Today/SuffolkUSA Today,6/26 - 6/29,1000 LV,3.0,46.0,40.0,Clinton +6,2016-06-26,2016-06-29
Gravis*Gravis*,6/27 - 6/28,2162 RV,2.1,50.0,48.0,Clinton +2,2016-06-27,2016-06-28
PPP (D)PPP (D),6/27 - 6/28,947 RV,3.2,48.0,44.0,Clinton +4,2016-06-27,2016-06-28
Rasmussen ReportsRasmussen,6/28 - 6/29,1000 LV,3.0,39.0,43.0,Trump +4,2016-06-28,2016-06-29
Reuters/IpsosReuters,7/2 - 7/6,1345 RV,2.8,44.0,33.0,Clinton +11,2016-07-02,2016-07-06
Economist/YouGovYouGov,7/2 - 7/4,1004 RV,4.0,47.0,42.0,Clinton +5,2016-07-02,2016-07-04
McClatchy/MaristMcClatchy,7/5 - 7/9,1053 RV,3.0,42.0,39.0,Clinton +3,2016-07-05,2016-07-09
Rasmussen ReportsRasmussen,7/5 - 7/5,1000 LV,3.0,40.0,42.0,Trump +2,2016-07-05,2016-07-05
CBS News/NY TimesCBS/NYT,7/8 - 7/12,1358 RV,3.0,40.0,40.0,Tie,2016-07-08,2016-07-12
Economist/YouGovYouGov,7/9 - 7/11,932 RV,4.5,45.0,43.0,Clinton +2,2016-07-09,2016-07-11
NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/13,1000 RV,3.1,46.0,41.0,Clinton +5,2016-07-09,2016-07-13
ABC News/Wash PostABC/WP,7/11 - 7/14,816 RV,4.0,47.0,43.0,Clinton +4,2016-07-11,2016-07-14
NBC News/SMNBC News,7/11 - 7/17,9436 RV,1.4,46.0,45.0,Clinton +1,2016-07-11,2016-07-17
Rasmussen ReportsRasmussen,7/12 - 7/13,1000 LV,3.0,37.0,44.0,Trump +7,2016-07-12,2016-07-13
CNN/ORCCNN/ORC,7/13 - 7/16,872 RV,3.5,49.0,42.0,Clinton +7,2016-07-13,2016-07-16
Economist/YouGovYouGov,7/15 - 7/17,925 RV,4.5,45.0,41.0,Clinton +4,2016-07-15,2016-07-17
Reuters/IpsosReuters,7/16 - 7/20,1232 RV,3.2,40.0,36.0,Clinton +4,2016-07-16,2016-07-20
Rasmussen ReportsRasmussen,7/18 - 7/19,1000 LV,3.0,42.0,43.0,Trump +1,2016-07-18,2016-07-19
NBC News/SMNBC News,7/18 - 7/24,12931 RV,1.2,46.0,45.0,Clinton +1,2016-07-18,2016-07-24
LA Times/USCLA Times,7/20 - 7/26,2150 LV,--,40.0,47.0,Trump +7,2016-07-20,2016-07-26
GravisGravis,7/21 - 7/22,3462 RV,1.7,49.0,51.0,Trump +2,2016-07-21,2016-07-22
CNN/ORCCNN/ORC,7/22 - 7/24,882 RV,3.5,45.0,48.0,Trump +3,2016-07-22,2016-07-24
CBS NewsCBS News,7/22 - 7/24,1118 RV,4.0,43.0,44.0,Trump +1,2016-07-22,2016-07-24
Economist/YouGovYouGov,7/23 - 7/24,1057 RV,4.5,47.0,42.0,Clinton +5,2016-07-23,2016-07-24
Reuters/IpsosReuters,7/25 - 7/29,1050 LV,3.5,40.0,35.0,Clinton +5,2016-07-25,2016-07-29
NBC News/SMNBC News,7/25 - 7/31,12742 RV,1.2,50.0,42.0,Clinton +8,2016-07-25,2016-07-31
Rasmussen ReportsRasmussen,7/26 - 7/27,1000 LV,3.0,43.0,42.0,Clinton +1,2016-07-26,2016-07-27
PPP (D)PPP (D),7/29 - 7/30,1276 LV,2.7,50.0,45.0,Clinton +5,2016-07-29,2016-07-30
CNN/ORCCNN/ORC,7/29 - 7/31,894 RV,3.5,52.0,43.0,Clinton +9,2016-07-29,2016-07-31
CBS NewsCBS News,7/29 - 7/31,1131 RV,3.0,47.0,41.0,Clinton +6,2016-07-29,2016-07-31
IBD/TIPPIBD/TIPP,7/29 - 8/4,851 RV,3.4,46.0,39.0,Clinton +7,2016-07-29,2016-08-04
Reuters/IpsosReuters,7/30 - 8/3,1072 LV,3.5,43.0,39.0,Clinton +4,2016-07-30,2016-08-03
Economist/YouGovYouGov,7/30 - 8/1,933 RV,4.1,46.0,43.0,Clinton +3,2016-07-30,2016-08-01
LA Times/USCLA Times,7/30 - 8/5,2175 LV,--,45.0,44.0,Clinton +1,2016-07-30,2016-08-05
FOX NewsFOX News,7/31 - 8/2,1022 RV,3.0,49.0,39.0,Clinton +10,2016-07-31,2016-08-02
NBC News/Wall St. JrnlNBC/WSJ,7/31 - 8/3,800 RV,3.5,47.0,38.0,Clinton +9,2016-07-31,2016-08-03
ABC News/Wash PostABC/WP,8/1 - 8/4,815 RV,4.0,50.0,42.0,Clinton +8,2016-08-01,2016-08-04
NBC News/SMNBC News,8/1 - 8/7,11480 RV,1.2,51.0,41.0,Clinton +10,2016-08-01,2016-08-07
McClatchy/MaristMcClatchy,8/1 - 8/3,983 RV,3.1,48.0,33.0,Clinton +15,2016-08-01,2016-08-03
BloombergBloomberg,8/5 - 8/8,749 LV,3.6,50.0,44.0,Clinton +6,2016-08-05,2016-08-08
Economist/YouGovYouGov,8/6 - 8/9,911 RV,4.2,48.0,41.0,Clinton +7,2016-08-06,2016-08-09
Reuters/IpsosReuters,8/6 - 8/10,974 LV,3.5,42.0,36.0,Clinton +6,2016-08-06,2016-08-10
LA Times/USCLA Times,8/6 - 8/12,2325 LV,--,46.0,42.0,Clinton +4,2016-08-06,2016-08-12
NBC News/SMNBC News,8/8 - 8/14,15179 RV,1.2,50.0,41.0,Clinton +9,2016-08-08,2016-08-14
Reuters/IpsosReuters,8/13 - 8/17,1049 LV,3.5,41.0,36.0,Clinton +5,2016-08-13,2016-08-17
Economist/YouGovYouGov,8/14 - 8/16,911 RV,4.2,47.0,41.0,Clinton +6,2016-08-14,2016-08-16
LA Times/USCLA Times,8/14 - 8/20,2385 LV,--,43.0,45.0,Trump +2,2016-08-14,2016-08-20
NBC News/SMNBC News,8/15 - 8/21,17459 RV,1.1,50.0,42.0,Clinton +8,2016-08-15,2016-08-21
GravisGravis,8/15 - 8/15,1143 RV,2.9,54.0,46.0,Clinton +8,2016-08-15,2016-08-15
QuinnipiacQuinnipiac,8/18 - 8/24,1498 LV,2.5,51.0,41.0,Clinton +10,2016-08-18,2016-08-24
Economist/YouGovYouGov,8/19 - 8/23,906 RV,4.1,47.0,44.0,Clinton +3,2016-08-19,2016-08-23
Reuters/IpsosReuters,8/20 - 8/24,1049 LV,3.5,42.0,35.0,Clinton +7,2016-08-20,2016-08-24
LA Times/USCLA Times,8/22 - 8/28,2460 LV,4.5,44.0,44.0,Tie,2016-08-22,2016-08-28
NBC News/SMNBC News,8/22 - 8/28,24104 RV,1.0,48.0,42.0,Clinton +6,2016-08-22,2016-08-28
USA Today/SuffolkUSA Today,8/24 - 8/29,1000 LV,3.0,48.0,41.0,Clinton +7,2016-08-24,2016-08-29
MonmouthMonmouth,8/25 - 8/28,689 LV,3.7,49.0,42.0,Clinton +7,2016-08-25,2016-08-28
Reuters/IpsosReuters,8/25 - 8/29,1404 LV,3.0,40.0,39.0,Clinton +1,2016-08-25,2016-08-29
PPP (D)PPP (D),8/26 - 8/28,881 LV,3.3,48.0,43.0,Clinton +5,2016-08-26,2016-08-28
IBD/TIPPIBD/TIPP,8/26 - 9/1,861 LV,3.4,44.0,43.0,Clinton +1,2016-08-26,2016-09-01
Economist/YouGovYouGov,8/27 - 8/29,1119 RV,4.0,47.0,42.0,Clinton +5,2016-08-27,2016-08-29
FOX NewsFOX News,8/28 - 8/30,1011 RV,3.0,48.0,42.0,Clinton +6,2016-08-28,2016-08-30
NBC News/SMNBC News,8/29 - 9/4,32226 RV,1.0,48.0,42.0,Clinton +6,2016-08-29,2016-09-04
CNN/ORCCNN/ORC,9/1 - 9/4,786 LV,3.5,48.0,49.0,Trump +1,2016-09-01,2016-09-04
Reuters/IpsosReuters,9/1 - 9/5,1084 LV,3.5,40.0,38.0,Clinton +2,2016-09-01,2016-09-05
Economist/YouGovYouGov,9/4 - 9/6,955 RV,4.7,44.0,42.0,Clinton +2,2016-09-04,2016-09-06
ABC News/Wash PostABC/WP,9/5 - 9/8,642 LV,4.5,51.0,43.0,Clinton +8,2016-09-05,2016-09-08
NBC News/SMNBC News,9/5 - 9/11,16220 RV,1.1,48.0,44.0,Clinton +4,2016-09-05,2016-09-11
LA Times/USC TrackingLA Times,9/5 - 9/11,2596 LV,4.5,44.0,44.0,Tie,2016-09-05,2016-09-11
Reuters/IpsosReuters,9/8 - 9/12,1127 LV,3.3,40.0,39.0,Clinton +1,2016-09-08,2016-09-12
QuinnipiacQuinnipiac,9/8 - 9/13,960 LV,3.2,48.0,43.0,Clinton +5,2016-09-08,2016-09-13
CBS News/NY TimesCBS/NYT,9/9 - 9/13,1433 LV,3.0,46.0,44.0,Clinton +2,2016-09-09,2016-09-13
Economist/YouGovYouGov,9/10 - 9/13,926 RV,4.0,46.0,44.0,Clinton +2,2016-09-10,2016-09-13
FOX NewsFOX News,9/11 - 9/14,867 LV,3.0,45.0,46.0,Trump +1,2016-09-11,2016-09-14
NBC News/SMNBC News,9/12 - 9/18,13320 LV,1.2,50.0,45.0,Clinton +5,2016-09-12,2016-09-18
LA Times/USC TrackingLA Times,9/13 - 9/19,2524 LV,4.5,42.0,47.0,Trump +5,2016-09-13,2016-09-19
Reuters/IpsosReuters,9/15 - 9/19,1111 LV,3.4,39.0,39.0,Tie,2016-09-15,2016-09-19
McClatchy/MaristMcClatchy,9/15 - 9/20,758 LV,3.6,48.0,41.0,Clinton +7,2016-09-15,2016-09-20
Associated Press-GfKAP-GfK,9/15 - 9/16,1251 LV,--,50.0,44.0,Clinton +6,2016-09-15,2016-09-16
NBC News/Wall St. JrnlNBC/WSJ,9/16 - 9/19,922 LV,3.2,48.0,41.0,Clinton +7,2016-09-16,2016-09-19
Economist/YouGovYouGov,9/18 - 9/19,936 RV,4.0,45.0,44.0,Clinton +1,2016-09-18,2016-09-19
ABC News/Wash PostABC/WP,9/19 - 9/22,651 LV,4.5,49.0,47.0,Clinton +2,2016-09-19,2016-09-22
NBC News/SMNBC News,9/19 - 9/25,13598 LV,1.1,51.0,44.0,Clinton +7,2016-09-19,2016-09-25
LA Times/USC TrackingLA Times,9/20 - 9/26,2726 LV,4.5,43.0,46.0,Trump +3,2016-09-20,2016-09-26
BloombergBloomberg,9/21 - 9/24,1002 LV,3.1,46.0,46.0,Tie,2016-09-21,2016-09-24
Reuters/IpsosReuters,9/22 - 9/26,1041 LV,3.5,44.0,38.0,Clinton +6,2016-09-22,2016-09-26
Economist/YouGovYouGov,9/22 - 9/24,948 RV,3.8,48.0,44.0,Clinton +4,2016-09-22,2016-09-24
MonmouthMonmouth,9/22 - 9/25,729 LV,3.6,49.0,46.0,Clinton +3,2016-09-22,2016-09-25
QuinnipiacQuinnipiac,9/22 - 9/25,1115 LV,2.9,47.0,46.0,Clinton +1,2016-09-22,2016-09-25
NBC News/SMNBC News,9/26 - 10/2,26925 LV,1.0,50.0,44.0,Clinton +6,2016-09-26,2016-10-02
FOX NewsFOX News,9/27 - 9/29,911 LV,3.0,49.0,44.0,Clinton +5,2016-09-27,2016-09-29
LA Times/USC TrackingLA Times,9/27 - 10/3,2275 LV,4.5,43.0,47.0,Trump +4,2016-09-27,2016-10-03
GravisGravis,9/27 - 9/27,3386 RV,1.7,50.0,50.0,Tie,2016-09-27,2016-09-27
PPP (D)PPP (D),9/27 - 9/28,933 LV,3.2,49.0,45.0,Clinton +4,2016-09-27,2016-09-28
CNN/ORCCNN/ORC,9/28 - 10/2,1213 LV,3.0,51.0,45.0,Clinton +6,2016-09-28,2016-10-02
CBS NewsCBS News,9/28 - 10/2,1217 LV,4.0,49.0,43.0,Clinton +6,2016-09-28,2016-10-02
The Atlantic/PRRIThe Atlantic,9/28 - 10/2,609 LV,--,47.0,41.0,Clinton +6,2016-09-28,2016-10-02
Reuters/IpsosReuters,9/29 - 10/3,1239 LV,3.2,44.0,37.0,Clinton +7,2016-09-29,2016-10-03
Economist/YouGovYouGov,10/1 - 10/3,911 RV,3.9,48.0,43.0,Clinton +5,2016-10-01,2016-10-03
FOX NewsFOX News,10/3 - 10/6,896 LV,3.0,48.0,44.0,Clinton +4,2016-10-03,2016-10-06
NBC News/SMNBC News,10/3 - 10/9,23329 LV,1.0,51.0,44.0,Clinton +7,2016-10-03,2016-10-09
LA Times/USC TrackingLA Times,10/4 - 10/10,2969 LV,4.5,43.0,45.0,Trump +2,2016-10-04,2016-10-10
QuinnipiacQuinnipiac,10/5 - 10/6,1064 LV,3.0,50.0,44.0,Clinton +6,2016-10-05,2016-10-06
The AtlanticThe Atlantic,10/5 - 10/9,886 LV,3.9,49.0,38.0,Clinton +11,2016-10-05,2016-10-09
Reuters/IpsosReuters,10/6 - 10/10,2363 LV,2.2,44.0,37.0,Clinton +7,2016-10-06,2016-10-10
Economist/YouGovYouGov,10/7 - 10/8,971 RV,4.2,48.0,43.0,Clinton +5,2016-10-07,2016-10-08
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/10,806 LV,3.5,50.0,40.0,Clinton +10,2016-10-08,2016-10-10
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/9,447 LV,4.6,52.0,38.0,Clinton +14,2016-10-08,2016-10-09
LA Times/USC TrackingLA Times,10/9 - 10/15,2946 LV,4.5,44.0,45.0,Trump +1,2016-10-09,2016-10-15
FOX NewsFOX News,10/10 - 10/12,917 LV,3.0,49.0,41.0,Clinton +8,2016-10-10,2016-10-12
NBC News/Wall St. JrnlNBC/WSJ,10/10 - 10/13,905 LV,3.3,51.0,41.0,Clinton +10,2016-10-10,2016-10-13
ABC News/Wash PostABC/WP,10/10 - 10/13,740 LV,4.0,50.0,46.0,Clinton +4,2016-10-10,2016-10-13
NBC News/SMNBC News,10/10 - 10/16,24804 LV,1.0,51.0,43.0,Clinton +8,2016-10-10,2016-10-16
CBS NewsCBS News,10/12 - 10/16,1189 LV,3.0,51.0,40.0,Clinton +11,2016-10-12,2016-10-16
Reuters/IpsosReuters,10/13 - 10/17,1190 LV,3.3,43.0,39.0,Clinton +4,2016-10-13,2016-10-17
MonmouthMonmouth,10/14 - 10/16,726 LV,3.6,53.0,41.0,Clinton +12,2016-10-14,2016-10-16
BloombergBloomberg,10/14 - 10/17,1006 LV,3.1,50.0,41.0,Clinton +9,2016-10-14,2016-10-17
FOX NewsFOX News,10/15 - 10/17,912 LV,3.0,49.0,42.0,Clinton +7,2016-10-15,2016-10-17
Economist/YouGovYouGov,10/15 - 10/18,925 RV,3.9,47.0,43.0,Clinton +4,2016-10-15,2016-10-18
NBC News/SMNBC News,10/17 - 10/23,32255 LV,1.0,50.0,44.0,Clinton +6,2016-10-17,2016-10-23
QuinnipiacQuinnipiac,10/17 - 10/18,1007 LV,3.1,50.0,44.0,Clinton +6,2016-10-17,2016-10-18
