Poll,Date,Sample,MoE,Obama (D),Romney (R),Spread,Date_start,Date_end
McClatchy/MaristMcClatchy/Marist,12/2 - 12/8,873 RV,3.5,44.0,46.0,Romney +2,2010-12-02,2010-12-08
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,12/9 - 12/13,1000 A,3.1,47.0,40.0,Obama +7,2010-12-09,2010-12-13
Rasmussen ReportsRasmussen Reports,1/3 - 1/6,2000 LV,--,42.0,44.0,Romney +2,2011-01-03,2011-01-06
McClatchy/MaristMcClatchy/Marist,1/6 - 1/10,827 RV,3.5,51.0,38.0,Obama +13,2011-01-06,2011-01-10
Democracy Corps (D)Democracy Corps (D),1/9 - 1/12,1000 LV,3.0,48.0,46.0,Obama +2,2011-01-09,2011-01-12
PPP (D)PPP (D),1/14 - 1/16,632 RV,3.9,48.0,43.0,Obama +5,2011-01-14,2011-01-16
FOX NewsFOX News,2/7 - 2/9,911 RV,3.0,48.0,41.0,Obama +7,2011-02-07,2011-02-09
PPP (D)PPP (D),2/11 - 2/14,600 RV,4.0,46.0,41.0,Obama +5,2011-02-11,2011-02-14
Newsweek/Daily BeastNewsweek/Daily Beast,2/12 - 2/15,918 LV,3.5,49.0,47.0,Obama +2,2011-02-12,2011-02-15
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,2/24 - 2/28,RV,--,49.0,40.0,Obama +9,2011-02-24,2011-02-28
Rasmussen ReportsRasmussen Reports,3/6 - 3/9,2000 LV,2.0,45.0,40.0,Obama +5,2011-03-06,2011-03-09
PPP (D)PPP (D),3/10 - 3/13,642 RV,3.9,47.0,42.0,Obama +5,2011-03-10,2011-03-13
PPP (D)PPP (D),4/7 - 4/10,532 RV,4.3,47.0,41.0,Obama +6,2011-04-07,2011-04-10
Democracy Corps (D)Democracy Corps (D),4/10 - 4/12,1000 LV,3.1,46.0,48.0,Romney +2,2011-04-10,2011-04-12
McClatchy/MaristMcClatchy/Marist,4/10 - 4/14,532 RV,4.5,46.0,45.0,Obama +1,2011-04-10,2011-04-14
ABC News/Wash PostABC News/Wash Post,4/14 - 4/17,1001 A,3.5,49.0,45.0,Obama +4,2011-04-14,2011-04-17
CNN/Opinion ResearchCNN/Opinion Research,4/29 - 5/1,964 RV,3.0,54.0,43.0,Obama +11,2011-04-29,2011-05-01
Newsweek/Daily BeastNewsweek/Daily Beast,4/30 - 5/1,600 A,3.0,44.0,44.0,Tie,2011-04-30,2011-05-01
Newsweek/Daily BeastNewsweek/Daily Beast,5/2 - 5/3,600 A,3.0,42.0,36.0,Obama +6,2011-05-02,2011-05-03
Reuters/IpsosReuters/Ipsos,5/5 - 5/9,600 A,--,51.0,38.0,Obama +13,2011-05-05,2011-05-09
PPP (D)PPP (D),5/5 - 5/8,814 RV,3.4,47.0,42.0,Obama +5,2011-05-05,2011-05-08
Politico/GWU/BattlegroundPolitico/GWU/Battleground,5/8 - 5/12,1000 LV,3.1,52.0,40.0,Obama +12,2011-05-08,2011-05-12
Democracy Corps (D)Democracy Corps (D),5/21 - 5/25,1000 LV,3.0,48.0,44.0,Obama +4,2011-05-21,2011-05-25
PPP (D)PPP (D),5/23 - 5/25,600 RV,4.0,49.0,42.0,Obama +7,2011-05-23,2011-05-25
QuinnipiacQuinnipiac,5/31 - 6/6,1946 RV,2.2,47.0,41.0,Obama +6,2011-05-31,2011-06-06
ABC News/Wash PostABC News/Wash Post,6/2 - 6/5,RV,3.5,46.0,49.0,Romney +3,2011-06-02,2011-06-05
Reuters/IpsosReuters/Ipsos,6/3 - 6/6,1132 A,3.0,51.0,38.0,Obama +13,2011-06-03,2011-06-06
FOX NewsFOX News,6/5 - 6/7,912 RV,3.0,48.0,41.0,Obama +7,2011-06-05,2011-06-07
PPP (D)PPP (D),6/9 - 6/12,520 RV,4.3,47.0,45.0,Obama +2,2011-06-09,2011-06-12
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,6/9 - 6/13,RV,3.1,49.0,43.0,Obama +6,2011-06-09,2011-06-13
McClatchy/MaristMcClatchy/Marist,6/15 - 6/23,390 RV,5.0,46.0,42.0,Obama +4,2011-06-15,2011-06-23
Democracy Corps (D)Democracy Corps (D),6/18 - 6/21,1000 RV,3.0,47.0,45.0,Obama +2,2011-06-18,2011-06-21
QuinnipiacQuinnipiac,7/5 - 7/11,2311 RV,2.0,47.0,41.0,Obama +6,2011-07-05,2011-07-11
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,7/14 - 7/17,RV,--,48.0,41.0,Obama +7,2011-07-14,2011-07-17
ABC News/Wash PostABC News/Wash Post,7/14 - 7/17,RV,--,49.0,47.0,Obama +2,2011-07-14,2011-07-17
Rasmussen ReportsRasmussen Reports,7/14 - 7/15,1000 LV,3.0,42.0,43.0,Romney +1,2011-07-14,2011-07-15
PPP (D)PPP (D),7/15 - 7/17,928 RV,3.2,45.0,45.0,Tie,2011-07-15,2011-07-17
FOX NewsFOX News,7/17 - 7/19,904 RV,3.0,47.0,41.0,Obama +6,2011-07-17,2011-07-19
McClatchy/MaristMcClatchy/Marist,8/2 - 8/4,807 RV,3.5,46.0,41.0,Obama +5,2011-08-02,2011-08-04
CNN/Opinion ResearchCNN/Opinion Research,8/5 - 8/7,930 RV,3.0,49.0,48.0,Obama +1,2011-08-05,2011-08-07
Democracy Corps (D)Democracy Corps (D),8/6 - 8/10,1000 LV,3.0,48.0,46.0,Obama +2,2011-08-06,2011-08-10
QuinnipiacQuinnipiac,8/16 - 8/27,2730 RV,1.9,45.0,45.0,Tie,2011-08-16,2011-08-27
GallupGallup,8/17 - 8/18,879 RV,4.0,46.0,48.0,Romney +2,2011-08-17,2011-08-18
Rasmussen ReportsRasmussen Reports,8/17 - 8/21,1000 LV,3.0,46.0,38.0,Obama +8,2011-08-17,2011-08-21
PPP (D)PPP (D),8/18 - 8/21,700 RV,3.7,45.0,45.0,Tie,2011-08-18,2011-08-21
Rasmussen ReportsRasmussen Reports,8/25 - 8/26,1000 LV,3.0,43.0,39.0,Obama +4,2011-08-25,2011-08-26
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,8/27 - 8/31,RV,--,46.0,45.0,Obama +1,2011-08-27,2011-08-31
ABC News/Wash PostABC News/Wash Post,8/29 - 9/1,RV,--,45.0,49.0,Romney +4,2011-08-29,2011-09-01
PPP (D)PPP (D),9/8 - 9/11,665 RV,3.8,49.0,45.0,Obama +4,2011-09-08,2011-09-11
Reuters/IpsosReuters/Ipsos,9/8 - 9/12,932 RV,3.1,49.0,43.0,Obama +6,2011-09-08,2011-09-12
BloombergBloomberg,9/9 - 9/12,997 A,3.1,48.0,43.0,Obama +5,2011-09-09,2011-09-12
Rasmussen ReportsRasmussen Reports,9/10 - 9/11,1000 LV,3.0,40.0,43.0,Romney +3,2011-09-10,2011-09-11
McClatchy/MaristMcClatchy/Marist,9/13 - 9/14,825 RV,3.5,46.0,44.0,Obama +2,2011-09-13,2011-09-14
USA Today/GallupUSA Today/Gallup,9/15 - 9/18,889 RV,4.0,47.0,49.0,Romney +2,2011-09-15,2011-09-18
Rasmussen ReportsRasmussen Reports,9/18 - 9/19,1000 LV,3.0,44.0,41.0,Obama +3,2011-09-18,2011-09-19
Pew ResearchPew Research,9/22 - 10/4,1901 RV,3.0,48.0,48.0,Tie,2011-09-22,2011-10-04
CNN/Opinion ResearchCNN/Opinion Research,9/23 - 9/25,917 RV,3.0,49.0,48.0,Obama +1,2011-09-23,2011-09-25
FOX NewsFOX News,9/25 - 9/27,925 RV,3.0,45.0,42.0,Obama +3,2011-09-25,2011-09-27
QuinnipiacQuinnipiac,9/27 - 10/3,2118 RV,2.1,42.0,46.0,Romney +4,2011-09-27,2011-10-03
Rasmussen ReportsRasmussen Reports,9/28 - 9/29,1000 LV,3.0,42.0,44.0,Romney +2,2011-09-28,2011-09-29
ABC News/Wash PostABC News/Wash Post,9/29 - 10/2,RV,--,46.0,48.0,Romney +2,2011-09-29,2011-10-02
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/6 - 10/10,RV,--,46.0,44.0,Obama +2,2011-10-06,2011-10-10
PPP (D)PPP (D),10/7 - 10/10,700 RV,3.7,45.0,45.0,Tie,2011-10-07,2011-10-10
Rasmussen ReportsRasmussen Reports,10/8 - 10/9,1000 LV,3.0,43.0,41.0,Obama +2,2011-10-08,2011-10-09
TimeTime,10/9 - 10/10,838 LV,--,48.0,44.0,Obama +4,2011-10-09,2011-10-10
Associated Press/GfKAssociated Press/GfK,10/13 - 10/17,1000 A,4.0,48.0,45.0,Obama +3,2011-10-13,2011-10-17
Democracy Corps (D)Democracy Corps (D),10/15 - 10/18,1000 LV,--,45.0,45.0,Tie,2011-10-15,2011-10-18
Rasmussen ReportsRasmussen Reports,10/16 - 10/17,1000 LV,3.0,43.0,42.0,Obama +1,2011-10-16,2011-10-17
Rasmussen ReportsRasmussen Reports,10/24 - 10/25,1000 LV,3.0,42.0,44.0,Romney +2,2011-10-24,2011-10-25
QuinnipiacQuinnipiac,10/25 - 10/31,2294 RV,2.1,47.0,42.0,Obama +5,2011-10-25,2011-10-31
USA Today/GallupUSA Today/Gallup,10/26 - 10/27,908 RV,4.0,47.0,47.0,Tie,2011-10-26,2011-10-27
Reuters/IpsosReuters/Ipsos,10/31 - 11/3,937 RV,3.2,43.0,44.0,Romney +1,2011-10-31,2011-11-03
ABC News/Wash PostABC News/Wash Post,10/31 - 11/3,RV,--,46.0,47.0,Romney +1,2011-10-31,2011-11-03
Rasmussen ReportsRasmussen Reports,11/1 - 11/2,1000 LV,3.0,42.0,41.0,Obama +1,2011-11-01,2011-11-02
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,11/2 - 11/5,RV,--,49.0,43.0,Obama +6,2011-11-02,2011-11-05
Politico/GWU/BattlegroundPolitico/GWU/Battleground,11/6 - 11/9,1000 LV,3.1,49.0,43.0,Obama +6,2011-11-06,2011-11-09
McClatchy/MaristMcClatchy/Marist,11/8 - 11/10,872 RV,3.5,48.0,44.0,Obama +4,2011-11-08,2011-11-10
Rasmussen ReportsRasmussen Reports,11/9 - 11/10,1000 LV,3.0,43.0,42.0,Obama +1,2011-11-09,2011-11-10
Pew ResearchPew Research,11/9 - 11/14,1576 RV,3.0,49.0,47.0,Obama +2,2011-11-09,2011-11-14
PPP (D)PPP (D),11/10 - 11/13,800 RV,3.5,46.0,43.0,Obama +3,2011-11-10,2011-11-13
CNN/Opinion ResearchCNN/Opinion Research,11/11 - 11/13,925 RV,3.0,47.0,51.0,Romney +4,2011-11-11,2011-11-13
FOX NewsFOX News,11/13 - 11/15,914 RV,3.0,42.0,44.0,Romney +2,2011-11-13,2011-11-15
QuinnipiacQuinnipiac,11/14 - 11/20,2552 RV,1.9,45.0,44.0,Obama +1,2011-11-14,2011-11-20
Rasmussen ReportsRasmussen Reports,11/21 - 11/22,1000 LV,3.0,44.0,38.0,Obama +6,2011-11-21,2011-11-22
Rasmussen ReportsRasmussen Reports,11/30 - 12/1,1000 LV,3.0,42.0,40.0,Obama +2,2011-11-30,2011-12-01
FOX NewsFOX News,12/5 - 12/7,911 RV,3.0,44.0,42.0,Obama +2,2011-12-05,2011-12-07
USA Today/GallupUSA Today/Gallup,12/6 - 12/7,883 RV,4.0,47.0,46.0,Obama +1,2011-12-06,2011-12-07
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,12/7 - 12/11,RV,--,47.0,45.0,Obama +2,2011-12-07,2011-12-11
Rasmussen ReportsRasmussen Reports,12/8 - 12/9,1000 LV,3.0,42.0,45.0,Romney +3,2011-12-08,2011-12-09
Associated Press/GfKAssociated Press/GfK,12/8 - 12/12,1000 A,4.0,47.0,46.0,Obama +1,2011-12-08,2011-12-12
Reuters/IpsosReuters/Ipsos,12/8 - 12/12,921 RV,3.2,48.0,40.0,Obama +8,2011-12-08,2011-12-12
Rasmussen ReportsRasmussen Reports,12/14 - 12/15,1000 LV,3.0,42.0,43.0,Romney +1,2011-12-14,2011-12-15
USA Today/GallupUSA Today/Gallup,12/15 - 12/18,898 RV,4.0,50.0,48.0,Obama +2,2011-12-15,2011-12-18
ABC News/Wash PostABC News/Wash Post,12/15 - 12/18,RV,--,47.0,47.0,Tie,2011-12-15,2011-12-18
PPP (D)PPP (D),12/16 - 12/18,700 RV,3.7,45.0,47.0,Romney +2,2011-12-16,2011-12-18
CNN/Opinion ResearchCNN/Opinion Research,12/16 - 12/18,928 RV,3.0,52.0,45.0,Obama +7,2011-12-16,2011-12-18
Rasmussen ReportsRasmussen Reports,12/20 - 12/21,1000 LV,3.0,44.0,41.0,Obama +3,2011-12-20,2011-12-21
Rasmussen ReportsRasmussen Reports,12/27 - 12/28,1000 LV,3.0,39.0,45.0,Romney +6,2011-12-27,2011-12-28
Final Results,--,--,--,51.1,47.2,Obama +3.9,2012-01-01,2012-01-01
Rasmussen ReportsRasmussen Reports,1/3 - 1/4,1000 LV,3.0,42.0,42.0,Tie,2012-01-03,2012-01-04
CBS NewsCBS News,1/4 - 1/8,1247 RV,3.0,45.0,47.0,Romney +2,2012-01-04,2012-01-08
Reuters/IpsosReuters/Ipsos,1/5 - 1/9,896 RV,3.2,48.0,43.0,Obama +5,2012-01-05,2012-01-09
Democracy Corps (D)Democracy Corps (D),1/8 - 1/11,1000 LV,3.1,47.0,46.0,Obama +1,2012-01-08,2012-01-11
Rasmussen ReportsRasmussen Reports,1/9 - 1/10,1000 LV,3.0,44.0,41.0,Obama +3,2012-01-09,2012-01-10
Pew ResearchPew Research,1/11 - 1/16,1207 RV,3.5,50.0,45.0,Obama +5,2012-01-11,2012-01-16
CNN/Opinion ResearchCNN/Opinion Research,1/11 - 1/12,928 RV,3.0,47.0,48.0,Romney +1,2012-01-11,2012-01-12
CBS News/NY TimesCBS News/NY Times,1/12 - 1/16,1021 RV,3.0,45.0,45.0,Tie,2012-01-12,2012-01-16
ABC News/Wash PostABC News/Wash Post,1/12 - 1/15,RV,--,46.0,48.0,Romney +2,2012-01-12,2012-01-15
FOX NewsFOX News,1/12 - 1/14,906 RV,3.0,46.0,45.0,Obama +1,2012-01-12,2012-01-14
PPP (D)PPP (D),1/13 - 1/16,700 RV,3.7,49.0,44.0,Obama +5,2012-01-13,2012-01-16
Rasmussen ReportsRasmussen Reports,1/19 - 1/21,1500 LV,3.0,46.0,43.0,Obama +3,2012-01-19,2012-01-21
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,1/22 - 1/24,RV,--,49.0,43.0,Obama +6,2012-01-22,2012-01-24
USA Today/GallupUSA Today/Gallup,1/27 - 1/28,907 RV,4.0,48.0,48.0,Tie,2012-01-27,2012-01-28
IBD/CSM/TIPPIBD/CSM/TIPP,1/29 - 2/4,852 RV,3.3,47.0,41.0,Obama +6,2012-01-29,2012-02-04
Rasmussen ReportsRasmussen Reports,1/31 - 2/2,1500 LV,3.0,45.0,45.0,Tie,2012-01-31,2012-02-02
ABC News/Wash PostABC News/Wash Post,2/1 - 2/4,879 RV,4.0,51.0,45.0,Obama +6,2012-02-01,2012-02-04
Reuters/IpsosReuters/Ipsos,2/2 - 2/6,881 RV,3.3,48.0,42.0,Obama +6,2012-02-02,2012-02-06
FOX NewsFOX News,2/6 - 2/9,1110 RV,3.0,47.0,42.0,Obama +5,2012-02-06,2012-02-09
Rasmussen ReportsRasmussen Reports,2/7 - 2/9,1500 LV,3.0,50.0,40.0,Obama +10,2012-02-07,2012-02-09
Pew ResearchPew Research,2/8 - 2/12,1172 RV,3.5,52.0,44.0,Obama +8,2012-02-08,2012-02-12
CBS News/NY TimesCBS News/NY Times,2/8 - 2/13,1604 RV,3.0,48.0,42.0,Obama +6,2012-02-08,2012-02-13
PPP (D)PPP (D),2/9 - 2/12,1200 RV,2.8,49.0,42.0,Obama +7,2012-02-09,2012-02-12
CNN/Opinion ResearchCNN/Opinion Research,2/10 - 2/13,937 RV,3.0,51.0,46.0,Obama +5,2012-02-10,2012-02-13
Democracy Corps (D)Democracy Corps (D),2/11 - 2/14,1000 LV,3.1,49.0,45.0,Obama +4,2012-02-11,2012-02-14
QuinnipiacQuinnipiac,2/14 - 2/20,2605 RV,1.9,46.0,44.0,Obama +2,2012-02-14,2012-02-20
Rasmussen ReportsRasmussen Reports,2/16 - 2/18,1500 LV,3.0,47.0,43.0,Obama +4,2012-02-16,2012-02-18
USA Today/GallupUSA Today/Gallup,2/16 - 2/19,898 RV,4.0,46.0,50.0,Romney +4,2012-02-16,2012-02-19
Associated Press/GfKAssociated Press/GfK,2/16 - 2/20,1000 A,4.1,51.0,43.0,Obama +8,2012-02-16,2012-02-20
Politico/GWU/BattlegroundPolitico/GWU/Battleground,2/19 - 2/22,1000 LV,3.1,53.0,43.0,Obama +10,2012-02-19,2012-02-22
USA Today/GallupUSA Today/Gallup,2/20 - 2/21,881 RV,4.0,47.0,47.0,Tie,2012-02-20,2012-02-21
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,2/29 - 3/3,RV,--,50.0,44.0,Obama +6,2012-02-29,2012-03-03
IBD/CSM/TIPPIBD/CSM/TIPP,3/4 - 3/11,807 RV,3.3,46.0,41.0,Obama +5,2012-03-04,2012-03-11
ABC News/Wash PostABC News/Wash Post,3/7 - 3/10,RV,--,47.0,49.0,Romney +2,2012-03-07,2012-03-10
CBS News/NY TimesCBS News/NY Times,3/7 - 3/11,878 RV,3.0,47.0,44.0,Obama +3,2012-03-07,2012-03-11
Pew ResearchPew Research,3/7 - 3/11,1188 RV,3.5,54.0,42.0,Obama +12,2012-03-07,2012-03-11
Rasmussen ReportsRasmussen Reports,3/8 - 3/10,1500 LV,3.0,42.0,48.0,Romney +6,2012-03-08,2012-03-10
Reuters/IpsosReuters/Ipsos,3/8 - 3/11,937 RV,3.3,52.0,41.0,Obama +11,2012-03-08,2012-03-11
BloombergBloomberg,3/8 - 3/11,746 LV,3.6,47.0,47.0,Tie,2012-03-08,2012-03-11
Reason-RupeReason-Rupe,3/10 - 3/20,1200 A,3.0,46.0,40.0,Obama +6,2012-03-10,2012-03-20
FOX NewsFOX News,3/10 - 3/12,912 RV,3.0,46.0,42.0,Obama +4,2012-03-10,2012-03-12
PPP (D)PPP (D),3/15 - 3/17,900 RV,3.3,48.0,44.0,Obama +4,2012-03-15,2012-03-17
McClatchy/MaristMcClatchy/Marist,3/20 - 3/22,846 RV,3.5,46.0,44.0,Obama +2,2012-03-20,2012-03-22
Rasmussen ReportsRasmussen Reports,3/23 - 3/25,1500 LV,3.0,46.0,43.0,Obama +3,2012-03-23,2012-03-25
CNN/Opinion ResearchCNN/Opinion Research,3/24 - 3/25,925 RV,3.0,54.0,43.0,Obama +11,2012-03-24,2012-03-25
USA Today/GallupUSA Today/Gallup,3/25 - 3/26,901 RV,4.0,49.0,45.0,Obama +4,2012-03-25,2012-03-26
IBD/CSM/TIPPIBD/CSM/TIPP,3/30 - 4/5,816 RV,3.3,46.0,38.0,Obama +8,2012-03-30,2012-04-05
Pew ResearchPew Research,4/4 - 4/15,2373 RV,2.3,49.0,45.0,Obama +4,2012-04-04,2012-04-15
ABC News/Wash PostABC News/Wash Post,4/5 - 4/8,RV,--,51.0,44.0,Obama +7,2012-04-05,2012-04-08
Rasmussen ReportsRasmussen Reports,4/6 - 4/8,1500 LV,3.0,46.0,44.0,Obama +2,2012-04-06,2012-04-08
FOX NewsFOX News,4/9 - 4/11,910 RV,3.0,44.0,46.0,Romney +2,2012-04-09,2012-04-11
QuinnipiacQuinnipiac,4/11 - 4/17,2577 RV,1.9,46.0,42.0,Obama +4,2012-04-11,2012-04-17
PPP (D)PPP (D),4/12 - 4/15,900 RV,3.3,49.0,46.0,Obama +3,2012-04-12,2012-04-15
Reuters/IpsosReuters/Ipsos,4/12 - 4/15,891 RV,3.3,47.0,43.0,Obama +4,2012-04-12,2012-04-15
GallupGallup,4/12 - 4/16,2200 RV,3.0,43.0,48.0,Romney +5,2012-04-12,2012-04-16
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,4/13 - 4/17,RV,--,49.0,43.0,Obama +6,2012-04-13,2012-04-17
CBS News/NY TimesCBS News/NY Times,4/13 - 4/17,852 RV,3.0,46.0,46.0,Tie,2012-04-13,2012-04-17
Rasmussen ReportsRasmussen Reports,4/13 - 4/15,1500 LV,3.0,44.0,47.0,Romney +3,2012-04-13,2012-04-15
CNN/Opinion ResearchCNN/Opinion Research,4/13 - 4/15,910 RV,3.5,52.0,43.0,Obama +9,2012-04-13,2012-04-15
National JournalNational Journal,4/19 - 4/22,1004 A,3.7,47.0,39.0,Obama +8,2012-04-19,2012-04-22
FOX NewsFOX News,4/22 - 4/24,915 RV,3.0,46.0,46.0,Tie,2012-04-22,2012-04-24
GallupGallup,4/23 - 4/28,2200 RV,3.0,47.0,46.0,Obama +1,2012-04-23,2012-04-28
Rasmussen ReportsRasmussen Reports,4/25 - 4/27,1500 LV,3.0,47.0,45.0,Obama +2,2012-04-25,2012-04-27
IBD/CSM/TIPPIBD/CSM/TIPP,4/27 - 5/4,856 RV,3.3,46.0,43.0,Obama +3,2012-04-27,2012-05-04
Democracy Corps (D)Democracy Corps (D),4/28 - 5/1,1000 LV,4.0,47.0,47.0,Tie,2012-04-28,2012-05-01
Politico/GWU/BattlegroundPolitico/GWU/Battleground,4/29 - 5/3,1000 LV,3.1,47.0,48.0,Romney +1,2012-04-29,2012-05-03
Resurgent Republic (R)Resurgent Republic (R),4/30 - 5/3,1000 RV,3.1,49.0,42.0,Obama +7,2012-04-30,2012-05-03
Reuters/IpsosReuters/Ipsos,5/3 - 5/7,959 RV,3.2,49.0,42.0,Obama +7,2012-05-03,2012-05-07
Associated Press/GfKAssociated Press/GfK,5/3 - 5/7,871 RV,4.2,50.0,42.0,Obama +8,2012-05-03,2012-05-07
GallupGallup,5/3 - 5/9,3000 RV,2.0,44.0,47.0,Romney +3,2012-05-03,2012-05-09
Rasmussen ReportsRasmussen Reports,5/4 - 5/6,1500 LV,3.0,45.0,47.0,Romney +2,2012-05-04,2012-05-06
Pew ResearchPew Research,5/9 - 6/3,2388 RV,2.3,49.0,42.0,Obama +7,2012-05-09,2012-06-03
IBD/CSM/TIPPIBD/CSM/TIPP,5/9 - 5/16,778 RV,3.6,43.0,40.0,Obama +3,2012-05-09,2012-05-16
Mason-DixonMason-Dixon,5/10 - 5/14,1000 LV,3.0,44.0,47.0,Romney +3,2012-05-10,2012-05-14
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,5/11 - 5/12,800 LV,3.5,43.0,44.0,Romney +1,2012-05-11,2012-05-12
CBS News/NY Times**CBS News/NY Times**,5/11 - 5/13,562 RV,4.0,43.0,46.0,Romney +3,2012-05-11,2012-05-13
GallupGallup,5/11 - 5/17,3050 RV,--,45.0,46.0,Romney +1,2012-05-11,2012-05-17
FOX NewsFOX News,5/13 - 5/15,913 RV,3.0,46.0,39.0,Obama +7,2012-05-13,2012-05-15
Rasmussen ReportsRasmussen Reports,5/14 - 5/16,1500 LV,3.0,45.0,46.0,Romney +1,2012-05-14,2012-05-16
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,5/16 - 5/20,RV,--,47.0,43.0,Obama +4,2012-05-16,2012-05-20
ABC News/Wash PostABC News/Wash Post,5/17 - 5/20,874 RV,4.0,49.0,46.0,Obama +3,2012-05-17,2012-05-20
CNN/Opinion ResearchCNN/Opinion Research,5/29 - 5/31,895 RV,3.5,49.0,46.0,Obama +3,2012-05-29,2012-05-31
IBD/CSM/TIPPIBD/CSM/TIPP,6/1 - 6/8,841 RV,3.5,46.0,42.0,Obama +4,2012-06-01,2012-06-08
GallupGallup,6/2 - 6/8,3050 RV,2.0,46.0,45.0,Obama +1,2012-06-02,2012-06-08
FOX NewsFOX News,6/3 - 6/5,907 RV,3.0,43.0,43.0,Tie,2012-06-03,2012-06-05
Rasmussen ReportsRasmussen Reports,6/4 - 6/6,1500 LV,3.0,46.0,46.0,Tie,2012-06-04,2012-06-06
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,6/4 - 6/6,1152 LV,2.9,47.0,46.0,Obama +1,2012-06-04,2012-06-06
Pew ResearchPew Research,6/7 - 6/17,1563 RV,2.9,50.0,46.0,Obama +4,2012-06-07,2012-06-17
Reuters/IpsosReuters/Ipsos,6/7 - 6/11,848 RV,3.4,45.0,44.0,Obama +1,2012-06-07,2012-06-11
GallupGallup,6/14 - 6/20,3050 RV,2.0,45.0,47.0,Romney +2,2012-06-14,2012-06-20
Associated Press/GfKAssociated Press/GfK,6/14 - 6/18,878 RV,4.2,47.0,44.0,Obama +3,2012-06-14,2012-06-18
