Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,Date_start,Date_end
Harvard-HarrisHarris,2/26 - 2/28,2592 RV,--,55.0,45.0,Biden +10,2020-02-26,2020-02-28
CNNCNN,3/4 - 3/7,1084 RV,3.5,53.0,43.0,Biden +10,2020-03-04,2020-03-07
QuinnipiacQuinnipiac,3/5 - 3/8,1261 RV,2.8,52.0,41.0,Biden +11,2020-03-05,2020-03-08
Economist/YouGovYouGov,3/8 - 3/10,1191 RV,2.9,47.0,43.0,Biden +4,2020-03-08,2020-03-10
NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,900 RV,3.3,52.0,43.0,Biden +9,2020-03-11,2020-03-13
Economist/YouGovYouGov,3/15 - 3/17,1129 RV,3.5,48.0,41.0,Biden +7,2020-03-15,2020-03-17
MonmouthMonmouth,3/18 - 3/22,754 RV,3.6,48.0,45.0,Biden +3,2020-03-18,2020-03-22
EmersonEmerson,3/18 - 3/19,1100 RV,2.9,53.0,47.0,Biden +6,2020-03-18,2020-03-19
FOX NewsFOX News,3/21 - 3/24,1011 RV,3.0,49.0,40.0,Biden +9,2020-03-21,2020-03-24
Economist/YouGovYouGov,3/22 - 3/24,1170 RV,3.4,46.0,42.0,Biden +4,2020-03-22,2020-03-24
ABC News/Wash PostABC/WP,3/22 - 3/25,845 RV,3.5,49.0,47.0,Biden +2,2020-03-22,2020-03-25
Harvard-HarrisHarris,3/24 - 3/26,2410 RV,2.0,55.0,45.0,Biden +10,2020-03-24,2020-03-26
Grinnell/SelzerSelzer,3/27 - 3/30,777 LV,3.5,47.0,43.0,Biden +4,2020-03-27,2020-03-30
Economist/YouGovYouGov,3/29 - 3/31,1194 RV,3.2,46.0,42.0,Biden +4,2020-03-29,2020-03-31
IBD/TIPPIBD/TIPP,3/29 - 4/1,980 RV,3.2,47.0,41.0,Biden +6,2020-03-29,2020-04-01
QuinnipiacQuinnipiac,4/2 - 4/6,2077 RV,2.2,49.0,41.0,Biden +8,2020-04-02,2020-04-06
CNNCNN,4/3 - 4/6,875 RV,3.9,53.0,42.0,Biden +11,2020-04-03,2020-04-06
CNBCCNBC,4/3 - 4/6,604 RV,4.0,44.0,39.0,Biden +5,2020-04-03,2020-04-06
MonmouthMonmouth,4/3 - 4/7,743 RV,3.6,48.0,44.0,Biden +4,2020-04-03,2020-04-07
FOX NewsFOX News,4/4 - 4/7,1107 RV,3.0,42.0,42.0,Tie,2020-04-04,2020-04-07
Economist/YouGovYouGov,4/5 - 4/7,1147 RV,3.3,48.0,42.0,Biden +6,2020-04-05,2020-04-07
Economist/YouGovYouGov,4/12 - 4/14,1166 RV,3.4,48.0,43.0,Biden +5,2020-04-12,2020-04-14
NBC News/Wall St. JrnlNBC/WSJ,4/13 - 4/15,900 RV,3.3,49.0,42.0,Biden +7,2020-04-13,2020-04-15
Harvard-HarrisHarris,4/14 - 4/16,LV,--,53.0,47.0,Biden +6,2020-04-14,2020-04-16
Economist/YouGovYouGov,4/19 - 4/21,1144 RV,3.4,48.0,42.0,Biden +6,2020-04-19,2020-04-21
The Hill/HarrisXThe Hill,4/19 - 4/20,958 RV,3.2,42.0,40.0,Biden +2,2020-04-19,2020-04-20
USA Today/SuffolkUSA Today,4/21 - 4/25,1000 RV,3.0,50.0,40.0,Biden +10,2020-04-21,2020-04-25
Economist/YouGovYouGov,4/26 - 4/28,1222 RV,3.2,47.0,41.0,Biden +6,2020-04-26,2020-04-28
EmersonEmerson,4/26 - 4/28,1200 RV,2.8,48.0,42.0,Biden +6,2020-04-26,2020-04-28
IBD/TIPPIBD/TIPP,4/26 - 4/29,948 RV,3.3,43.0,43.0,Tie,2020-04-26,2020-04-29
CBS News/YouGovCBS News,4/28 - 5/1,1671 LV,2.5,49.0,43.0,Biden +6,2020-04-28,2020-05-01
MonmouthMonmouth,4/30 - 5/4,739 RV,3.6,50.0,41.0,Biden +9,2020-04-30,2020-05-04
CNBCCNBC,5/1 - 5/3,1489 LV,2.5,47.0,44.0,Biden +3,2020-05-01,2020-05-03
Economist/YouGovYouGov,5/3 - 5/5,1209 RV,3.3,46.0,42.0,Biden +4,2020-05-03,2020-05-05
CNNCNN,5/7 - 5/10,1001 RV,3.7,51.0,46.0,Biden +5,2020-05-07,2020-05-10
Economist/YouGovYouGov,5/10 - 5/12,1175 RV,3.4,47.0,43.0,Biden +4,2020-05-10,2020-05-12
Harvard-HarrisHarris,5/13 - 5/14,1854 RV,2.0,53.0,47.0,Biden +6,2020-05-13,2020-05-14
The Hill/HarrisXThe Hill,5/13 - 5/14,950 RV,3.2,42.0,41.0,Biden +1,2020-05-13,2020-05-14
QuinnipiacQuinnipiac,5/14 - 5/18,1323 RV,2.7,50.0,39.0,Biden +11,2020-05-14,2020-05-18
CNBCCNBC,5/15 - 5/17,1424 LV,2.6,48.0,45.0,Biden +3,2020-05-15,2020-05-17
Economist/YouGovYouGov,5/17 - 5/19,1235 RV,3.2,47.0,42.0,Biden +5,2020-05-17,2020-05-19
FOX NewsFOX News,5/17 - 5/20,1207 RV,3.0,48.0,40.0,Biden +8,2020-05-17,2020-05-20
Rasmussen ReportsRasmussen,5/18 - 5/19,1000 LV,3.0,48.0,43.0,Biden +5,2020-05-18,2020-05-19
Economist/YouGovYouGov,5/23 - 5/26,1157 RV,3.4,45.0,42.0,Biden +3,2020-05-23,2020-05-26
ABC News/Wash PostABC/WP,5/25 - 5/28,835 RV,4.0,53.0,43.0,Biden +10,2020-05-25,2020-05-28
MonmouthMonmouth,5/28 - 6/1,742 RV,3.6,52.0,41.0,Biden +11,2020-05-28,2020-06-01
NBC News/Wall St. JrnlNBC/WSJ,5/28 - 6/2,1000 RV,3.1,49.0,42.0,Biden +7,2020-05-28,2020-06-02
CBS News/YouGovCBS News,5/29 - 6/1,1486 LV,2.6,47.0,43.0,Biden +4,2020-05-29,2020-06-01
CNBCCNBC,5/29 - 5/31,1457 LV,2.6,48.0,41.0,Biden +7,2020-05-29,2020-05-31
Economist/YouGovYouGov,5/31 - 6/2,1244 RV,3.2,47.0,40.0,Biden +7,2020-05-31,2020-06-02
IBD/TIPPIBD/TIPP,5/31 - 6/3,964 RV,2.9,45.0,42.0,Biden +3,2020-05-31,2020-06-03
The Hill/HarrisXThe Hill,6/1 - 6/4,2827 RV,1.8,47.0,37.0,Biden +10,2020-06-01,2020-06-04
EmersonEmerson,6/2 - 6/3,1431 RV,2.5,53.0,47.0,Biden +6,2020-06-02,2020-06-03
NPR/PBS/MaristNPR/PBS,6/2 - 6/3,958 RV,4.0,50.0,43.0,Biden +7,2020-06-02,2020-06-03
CNNCNN,6/2 - 6/5,1125 RV,3.6,55.0,41.0,Biden +14,2020-06-02,2020-06-05
Economist/YouGovYouGov,6/7 - 6/9,1241 RV,3.4,49.0,41.0,Biden +8,2020-06-07,2020-06-09
CNBC/Change Research (D)CNBC,6/10 - 6/12,1250 LV,2.8,51.0,41.0,Biden +10,2020-06-10,2020-06-12
QuinnipiacQuinnipiac,6/11 - 6/15,1332 RV,2.7,49.0,41.0,Biden +8,2020-06-11,2020-06-15
FOX NewsFOX News,6/13 - 6/16,1343 RV,2.5,50.0,38.0,Biden +12,2020-06-13,2020-06-16
Economist/YouGovYouGov,6/14 - 6/16,1160 RV,3.5,50.0,41.0,Biden +9,2020-06-14,2020-06-16
Harvard-HarrisHarris,6/17 - 6/18,LV,--,56.0,44.0,Biden +12,2020-06-17,2020-06-18
NY Times/SienaNYT/Siena,6/17 - 6/22,1337 RV,3.0,50.0,36.0,Biden +14,2020-06-17,2020-06-22
CNBCCNBC,6/19 - 6/22,800 RV,3.5,47.0,38.0,Biden +9,2020-06-19,2020-06-22
Economist/YouGovYouGov,6/21 - 6/23,1230 RV,3.3,49.0,41.0,Biden +8,2020-06-21,2020-06-23
The Hill/HarrisXThe Hill,6/22 - 6/23,951 RV,3.2,43.0,39.0,Biden +4,2020-06-22,2020-06-23
NPR/PBS/MaristNPR/PBS,6/22 - 6/24,1515 RV,3.5,52.0,44.0,Biden +8,2020-06-22,2020-06-24
USA Today/SuffolkUSA Today,6/25 - 6/29,1000 RV,3.1,53.0,41.0,Biden +12,2020-06-25,2020-06-29
CNBC/Change Research (D)CNBC,6/26 - 6/28,1663 LV,1.6,49.0,41.0,Biden +8,2020-06-26,2020-06-28
MonmouthMonmouth,6/26 - 6/30,733 RV,3.6,53.0,41.0,Biden +12,2020-06-26,2020-06-30
IBD/TIPPIBD/TIPP,6/27 - 6/30,1005 RV,3.1,48.0,40.0,Biden +8,2020-06-27,2020-06-30
Economist/YouGovYouGov,6/28 - 6/30,1198 RV,3.4,49.0,40.0,Biden +9,2020-06-28,2020-06-30
The Hill/HarrisXThe Hill,7/3 - 7/4,933 RV,3.2,43.0,39.0,Biden +4,2020-07-03,2020-07-04
Rasmussen ReportsRasmussen,7/5 - 7/7,1500 LV,2.5,50.0,40.0,Biden +10,2020-07-05,2020-07-07
Economist/YouGovYouGov,7/5 - 7/7,1165 RV,3.6,49.0,40.0,Biden +9,2020-07-05,2020-07-07
Rasmussen ReportsRasmussen,7/8 - 7/14,1500 LV,2.0,47.0,44.0,Biden +3,2020-07-08,2020-07-14
NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/12,900 RV,3.3,51.0,40.0,Biden +11,2020-07-09,2020-07-12
QuinnipiacQuinnipiac,7/9 - 7/13,1273 RV,2.8,52.0,37.0,Biden +15,2020-07-09,2020-07-13
CNBC/Change Research (D)*CNBC*,7/10 - 7/12,1258 LV,2.8,51.0,41.0,Biden +10,2020-07-10,2020-07-12
Economist/YouGovYouGov,7/12 - 7/14,1252 RV,3.3,49.0,40.0,Biden +9,2020-07-12,2020-07-14
ABC News/Wash PostABC/WP,7/12 - 7/15,673 LV,--,54.0,44.0,Biden +10,2020-07-12,2020-07-15
FOX NewsFOX News,7/12 - 7/15,1104 RV,3.0,49.0,41.0,Biden +8,2020-07-12,2020-07-15
Rasmussen ReportsRasmussen,7/15 - 7/21,2500 LV,2.0,47.0,45.0,Biden +2,2020-07-15,2020-07-21
The Hill/HarrisXThe Hill,7/17 - 7/20,2829 RV,1.8,45.0,38.0,Biden +7,2020-07-17,2020-07-20
Economist/YouGovYouGov,7/19 - 7/21,1222 RV,3.2,48.0,41.0,Biden +7,2020-07-19,2020-07-21
Harvard-HarrisHarris,7/21 - 7/23,1932 RV,--,55.0,45.0,Biden +10,2020-07-21,2020-07-23
CBS News/YouGovCBS News,7/21 - 7/24,1401 LV,--,51.0,41.0,Biden +10,2020-07-21,2020-07-24
Rasmussen ReportsRasmussen,7/22 - 7/28,2500 LV,2.0,48.0,42.0,Biden +6,2020-07-22,2020-07-28
CNBC/Change Research (D)*CNBC*,7/24 - 7/26,1039 LV,3.0,51.0,42.0,Biden +9,2020-07-24,2020-07-26
IBD/TIPPIBD/TIPP,7/25 - 7/28,1160 RV,3.1,48.0,41.0,Biden +7,2020-07-25,2020-07-28
Economist/YouGovYouGov,7/26 - 7/28,1260 RV,3.4,49.0,40.0,Biden +9,2020-07-26,2020-07-28
EmersonEmerson,7/29 - 7/30,964 LV,3.1,50.0,46.0,Biden +4,2020-07-29,2020-07-30
Rasmussen ReportsRasmussen,7/29 - 8/4,2500 LV,2.0,48.0,45.0,Biden +3,2020-07-29,2020-08-04
GU Politics/BattlegroundGU Politics,8/1 - 8/6,1000 LV,3.1,53.0,40.0,Biden +13,2020-08-01,2020-08-06
Economist/YouGovYouGov,8/2 - 8/4,1229 RV,3.3,49.0,40.0,Biden +9,2020-08-02,2020-08-04
The Hill/HarrisXThe Hill,8/2 - 8/5,2850 RV,1.8,43.0,40.0,Biden +3,2020-08-02,2020-08-05
NPR/PBS/MaristNPR/PBS,8/3 - 8/11,1108 RV,3.6,53.0,42.0,Biden +11,2020-08-03,2020-08-11
Rasmussen ReportsRasmussen,8/5 - 8/11,2500 LV,2.0,49.0,43.0,Biden +6,2020-08-05,2020-08-11
Monmouth*Monmouth*,8/6 - 8/10,785 RV,3.5,51.0,41.0,Biden +10,2020-08-06,2020-08-10
CNBC/Change Research (D)*CNBC*,8/7 - 8/9,2143 LV,2.1,50.0,44.0,Biden +6,2020-08-07,2020-08-09
The Hill/HarrisXThe Hill,8/8 - 8/11,2828 RV,1.8,44.0,40.0,Biden +4,2020-08-08,2020-08-11
Economist/YouGovYouGov,8/9 - 8/11,1208 RV,3.6,49.0,39.0,Biden +10,2020-08-09,2020-08-11
FOX NewsFOX News,8/9 - 8/12,1000 RV,3.0,49.0,42.0,Biden +7,2020-08-09,2020-08-12
NBC News/Wall St. JrnlNBC/WSJ,8/9 - 8/12,900 RV,3.3,50.0,41.0,Biden +9,2020-08-09,2020-08-12
The Hill/HarrisXThe Hill,8/11 - 8/14,2823 RV,1.8,45.0,39.0,Biden +6,2020-08-11,2020-08-14
Rasmussen ReportsRasmussen,8/12 - 8/18,2500 LV,2.0,48.0,44.0,Biden +4,2020-08-12,2020-08-18
CNNCNN,8/12 - 8/15,987 RV,4.0,50.0,46.0,Biden +4,2020-08-12,2020-08-15
CBS News/YouGovCBS News,8/12 - 8/14,2152 LV,2.4,52.0,42.0,Biden +10,2020-08-12,2020-08-14
ABC News/Wash PostABC/WP,8/12 - 8/15,707 LV,--,54.0,44.0,Biden +10,2020-08-12,2020-08-15
The Hill/HarrisXThe Hill,8/15 - 8/18,2840 RV,1.8,46.0,38.0,Biden +8,2020-08-15,2020-08-18
Economist/YouGovYouGov,8/16 - 8/18,1246 RV,3.4,50.0,40.0,Biden +10,2020-08-16,2020-08-18
Rasmussen ReportsRasmussen,8/19 - 8/25,2500 LV,2.0,46.0,45.0,Biden +1,2020-08-19,2020-08-25
CBS News/YouGovCBS News,8/20 - 8/22,934 LV,3.7,52.0,42.0,Biden +10,2020-08-20,2020-08-22
CNBC/Change Research (D)*CNBC*,8/21 - 8/23,2362 LV,2.0,51.0,43.0,Biden +8,2020-08-21,2020-08-23
The Hill/HarrisXThe Hill,8/22 - 8/25,2861 RV,1.8,47.0,38.0,Biden +9,2020-08-22,2020-08-25
Economist/YouGovYouGov,8/23 - 8/25,1254 RV,3.8,50.0,41.0,Biden +9,2020-08-23,2020-08-25
The Hill/HarrisXThe Hill,8/25 - 8/28,2862 RV,1.8,47.0,38.0,Biden +9,2020-08-25,2020-08-28
Grinnell/SelzerSelzer,8/26 - 8/30,827 LV,3.4,49.0,41.0,Biden +8,2020-08-26,2020-08-30
Rasmussen ReportsRasmussen,8/26 - 9/1,2500 LV,2.0,49.0,45.0,Biden +4,2020-08-26,2020-09-01
Reuters/IpsosReuters,8/28 - 9/1,1089 RV,3.4,47.0,40.0,Biden +7,2020-08-28,2020-09-01
USA Today/SuffolkUSA Today,8/28 - 8/31,1000 RV,3.1,50.0,43.0,Biden +7,2020-08-28,2020-08-31
CNNCNN,8/28 - 9/1,997 RV,4.0,51.0,43.0,Biden +8,2020-08-28,2020-09-01
QuinnipiacQuinnipiac,8/28 - 8/31,1081 LV,3.0,52.0,42.0,Biden +10,2020-08-28,2020-08-31
IBD/TIPPIBD/TIPP,8/29 - 9/1,1033 RV,--,49.0,41.0,Biden +8,2020-08-29,2020-09-01
The Hill/HarrisXThe Hill,8/29 - 8/31,2834 RV,1.8,46.0,40.0,Biden +6,2020-08-29,2020-08-31
Economist/YouGovYouGov,8/30 - 9/1,1207 RV,3.6,51.0,40.0,Biden +11,2020-08-30,2020-09-01
EmersonEmerson,8/30 - 8/31,1567 LV,2.4,49.0,47.0,Biden +2,2020-08-30,2020-08-31
Harvard-HarrisHarris,8/31 - 9/2,LV,--,53.0,47.0,Biden +6,2020-08-31,2020-09-02
USC DornsifeUSC,8/31 - 9/6,2588 LV,--,52.0,42.0,Biden +10,2020-08-31,2020-09-06
CBS News/YouGovCBS News,9/2 - 9/4,2433 LV,--,52.0,42.0,Biden +10,2020-09-02,2020-09-04
Rasmussen ReportsRasmussen,9/2 - 9/8,2500 LV,2.0,48.0,46.0,Biden +2,2020-09-02,2020-09-08
Reuters/IpsosReuters,9/3 - 9/8,823 LV,3.9,52.0,40.0,Biden +12,2020-09-03,2020-09-08
Monmouth*Monmouth*,9/3 - 9/8,758 LV,3.6,51.0,44.0,Biden +7,2020-09-03,2020-09-08
CNBC/Change Research (D)*CNBC*,9/4 - 9/6,1902 LV,2.3,49.0,43.0,Biden +6,2020-09-04,2020-09-06
The Hill/HarrisXThe Hill,9/5 - 9/8,2832 RV,1.8,47.0,39.0,Biden +8,2020-09-05,2020-09-08
Economist/YouGovYouGov,9/6 - 9/8,1057 LV,3.8,52.0,43.0,Biden +9,2020-09-06,2020-09-08
FOX NewsFOX News,9/7 - 9/10,1191 LV,2.5,51.0,46.0,Biden +5,2020-09-07,2020-09-10
USC DornsifeUSC,9/7 - 9/13,2648 LV,--,52.0,42.0,Biden +10,2020-09-07,2020-09-13
Rasmussen ReportsRasmussen,9/9 - 9/15,2500 LV,2.0,46.0,47.0,Trump +1,2020-09-09,2020-09-15
JTN/RMG Research*JTN/RMG*,9/10 - 9/12,941 LV,2.8,48.0,43.0,Biden +5,2020-09-10,2020-09-12
The Hill/HarrisXThe Hill,9/10 - 9/14,3758 RV,1.6,45.0,39.0,Biden +6,2020-09-10,2020-09-14
NPR/PBS/MaristNPR/PBS,9/11 - 9/16,723 LV,4.3,52.0,43.0,Biden +9,2020-09-11,2020-09-16
Reuters/IpsosReuters,9/11 - 9/15,859 LV,3.8,50.0,41.0,Biden +9,2020-09-11,2020-09-15
Economist/YouGovYouGov,9/13 - 9/15,1062 LV,3.8,51.0,42.0,Biden +9,2020-09-13,2020-09-15
NBC News/Wall St. JrnlNBC/WSJ,9/13 - 9/16,1000 RV,3.1,51.0,43.0,Biden +8,2020-09-13,2020-09-16
IBD/TIPPIBD/TIPP,9/16 - 9/19,962 LV,3.3,50.0,44.0,Biden +6,2020-09-16,2020-09-19
Rasmussen ReportsRasmussen,9/16 - 9/22,3000 LV,2.5,48.0,47.0,Biden +1,2020-09-16,2020-09-22
